date,latitude,longitude,fire_occurred
2023-11-14,39.5,7.07,0
2023-11-15,36.35,14.8,0
2023-10-19,41.02,16.75,0
2023-11-15,38.47,13.64,0
2023-07-25,40.7,12.21,0
2023-09-11,45.81,9.04,0
2023-07-25,38.69,8.48,0
2023-10-05,36.67,11.07,0
2023-08-13,39.24,14.21,0
2023-10-05,39.38,10.03,0
2024-10-07,43.61,12.25,0
2023-07-25,42.41,13.68,0
2024-11-16,45.01,8.69,0
2024-09-09,43.64,15.49,0
2023-04-22,40.67,14.05,0
2023-03-31,45.36,13.58,0
2023-04-26,37.92,12.12,0
2023-07-07,36.26,10.67,0
2023-10-10,37.04,13.02,0
2024-10-22,44.31,15.8,0
2024-07-31,41.31,15.04,0
2023-08-23,37.85,15.44,0
2023-08-16,41.76,8.68,0
2024-09-29,37.75,15.98,0
2023-05-30,44.01,10.29,0
2024-03-30,41.13,8.98,0
2024-10-04,40.38,7.56,0
2023-10-14,39.47,16.63,0
2023-07-24,43.25,13.98,0
2024-06-27,40.16,16.77,0
2023-08-18,37.01,13.19,0
2023-10-24,37.36,17.01,0
2024-08-13,47.06,13.12,0
2023-08-10,46.45,14.27,0
2023-08-23,44.05,6.72,0
2024-06-29,39.06,14.57,0
2023-09-22,47.15,13.65,0
2023-08-03,44.96,9.1,0
2023-11-19,44.24,7.44,0
2023-07-04,41.17,10.44,0
2024-07-21,39.13,6.77,0
2023-07-23,37.11,13.69,0
2023-08-22,46.38,12.99,0
2024-04-09,41.24,17.75,0
2023-09-12,38.33,12.62,0
2024-08-01,39.52,15.34,0
2023-07-19,42.66,14.5,0
2024-01-16,38.03,14.96,0
2023-01-11,45.85,10.01,0
2023-10-08,44.72,11.32,0
2023-10-12,44.27,7.53,0
2023-10-20,40.97,14.33,0
2023-10-12,43.21,9.87,0
2023-09-18,42.72,13.02,0
2023-08-27,43.47,17.8,0
2024-12-10,36.97,14.74,0
2023-07-17,40.78,9.43,0
2023-03-25,36.48,12.59,0
2024-08-03,41.68,13.71,0
2023-09-04,39.79,16.88,0
2023-07-25,37.66,16.16,0
2024-04-28,37.19,10.04,0
2023-10-12,42.76,17.77,0
2023-04-26,37.96,7.89,0
2024-06-14,46.64,9.53,0
2024-06-18,42.68,6.43,0
2023-06-02,39.99,9.98,0
2024-02-08,42.8,11.3,0
2023-10-09,36.26,9.09,0
2023-09-17,47.02,6.16,0
2024-02-17,41.55,6.13,0
2023-07-28,45.0,17.83,0
2023-08-31,36.95,15.41,0
2023-10-10,41.6,14.94,0
2023-10-29,41.64,16.06,0
2024-06-21,46.79,14.89,0
2023-03-12,42.57,6.79,0
2023-07-19,41.45,17.85,0
2024-04-09,39.07,11.49,0
2023-07-25,39.81,11.8,0
2024-12-03,41.99,17.35,0
2023-10-10,41.05,8.62,0
2023-07-09,36.25,10.0,0
2024-06-10,45.5,16.94,0
2023-06-06,46.31,12.65,0
2024-07-18,37.61,11.38,0
2024-07-22,42.37,18.22,0
2023-08-21,37.25,17.38,0
2023-02-11,43.73,17.36,0
2024-08-10,39.23,8.72,0
2023-07-23,43.58,16.8,0
2024-05-03,44.36,14.41,0
2024-06-23,44.84,14.85,0
2023-05-24,37.24,6.61,0
2024-10-14,46.53,13.11,0
2023-09-14,38.65,8.8,0
2023-10-31,36.43,17.87,0
2023-10-26,42.38,13.19,0
2023-03-24,40.27,13.9,0
2023-09-27,45.54,9.11,0
2024-04-19,45.29,11.39,0
2024-03-24,39.65,12.78,0
2024-05-25,46.96,16.39,0
2024-09-02,39.35,13.83,0
2023-02-17,41.92,7.45,0
2023-11-19,38.94,11.77,0
2024-09-29,46.76,9.78,0
2023-07-21,37.89,12.9,0
2023-10-08,36.52,12.01,0
2024-09-25,41.0,6.29,0
2024-03-05,47.41,8.66,0
2023-10-10,46.25,14.45,0
2023-07-02,44.61,12.97,0
2024-07-30,46.24,6.68,0
2023-08-16,46.27,13.65,0
2024-01-02,41.97,12.44,0
2024-08-29,39.63,7.92,0
2023-04-12,44.88,6.03,0
2024-12-25,43.61,10.29,0
2023-01-10,40.3,15.98,0
2023-10-22,37.09,7.7,0
2024-08-10,44.59,18.09,0
2023-08-28,39.02,12.94,0
2023-10-14,46.77,15.71,0
2023-12-23,38.77,18.5,0
2024-04-26,37.41,9.36,0
2023-10-02,45.56,13.46,0
2023-08-31,37.76,10.36,0
2024-03-08,38.06,7.08,0
2023-04-28,42.89,16.16,0
2023-07-18,46.06,6.15,0
2024-08-10,38.26,17.12,0
2024-06-22,39.57,16.17,0
2023-08-06,44.94,14.17,0
2023-05-04,47.18,13.57,0
2023-03-25,41.76,16.82,0
2023-09-18,37.65,6.71,0
2023-07-25,36.16,15.43,0
2023-09-22,38.64,8.31,0
2023-09-19,37.52,6.26,0
2023-07-12,43.79,10.0,0
2023-10-15,37.4,10.19,0
2024-08-12,41.82,8.47,0
2023-08-03,43.98,15.1,0
2024-09-02,42.68,13.15,0
2023-03-26,38.3,17.78,0
2023-07-24,45.25,15.75,0
2023-07-24,44.23,16.57,0
2024-10-15,44.5,17.55,0
2023-10-10,37.51,16.32,0
2023-09-30,37.42,7.51,0
2024-06-24,46.67,8.37,0
2023-09-07,40.57,11.14,0
2024-07-02,39.46,10.25,0
2023-12-23,41.62,17.33,0
2023-09-05,43.62,12.71,0
2023-08-10,46.99,17.21,0
2023-04-01,39.29,10.96,0
2024-07-09,46.64,17.6,0
2024-09-12,36.29,6.92,0
2023-10-03,42.38,11.7,0
2024-06-19,43.29,17.53,0
2023-07-20,37.22,11.76,0
2023-07-21,37.61,15.38,0
2023-08-28,40.82,10.62,0
2023-03-04,47.11,16.61,0
2023-06-24,42.85,14.08,0
2023-07-16,46.73,16.39,0
2023-08-13,45.25,12.87,0
2024-06-09,41.37,14.16,0
2023-08-17,45.02,12.77,0
2024-07-23,36.21,13.26,0
2023-07-09,37.26,14.82,0
2023-04-22,45.54,7.55,0
2024-09-18,45.16,15.84,0
2023-09-06,38.68,10.55,0
2023-04-07,42.1,6.16,0
2023-05-06,42.97,14.24,0
2023-10-06,45.98,13.85,0
2023-08-11,42.94,15.29,0
2023-05-02,40.74,18.78,0
2024-05-24,40.3,11.91,0
2023-11-27,40.9,18.46,0
2024-09-22,43.5,13.4,0
2023-10-20,45.98,10.58,0
2024-02-06,41.22,14.68,0
2023-10-06,38.85,8.51,0
2023-06-17,38.72,18.37,0
2023-10-12,44.58,11.65,0
2024-08-04,45.39,6.14,0
2023-10-03,37.21,14.39,0
2023-06-28,36.77,7.54,0
2023-06-25,42.84,7.14,0
2023-09-24,37.68,6.3,0
2023-09-12,45.48,17.3,0
2023-07-19,39.57,6.43,0
2023-08-25,37.65,12.88,0
2023-05-27,46.59,12.26,0
2023-07-25,37.9,17.66,0
2023-08-01,39.27,17.66,0
2023-07-13,37.77,17.79,0
2023-09-23,37.33,11.12,0
2024-06-29,36.24,12.06,0
2024-07-20,36.64,16.57,0
2024-11-07,38.01,7.54,0
2023-07-10,36.61,7.46,0
2024-06-08,42.8,17.8,0
2024-04-17,43.83,6.38,0
2023-07-25,40.53,10.9,0
2024-09-01,39.66,8.5,0
2024-12-17,41.8,7.08,0
2023-07-24,46.06,18.47,0
2023-09-21,45.79,8.12,0
2023-09-12,36.5,11.53,0
2024-08-17,38.09,9.28,0
2024-07-22,38.72,12.29,0
2024-08-03,38.87,15.82,0
2023-09-21,42.57,14.44,0
2023-05-27,40.79,13.32,0
2024-07-05,36.57,12.54,0
2023-01-21,40.3,7.69,0
2023-02-12,42.02,11.15,0
2023-01-10,37.17,17.59,0
2023-07-30,45.58,16.5,0
2024-08-15,36.6,6.83,0
2023-07-15,46.64,16.76,0
2023-09-23,37.14,16.6,0
2024-03-22,45.7,16.27,0
2024-08-09,46.38,16.43,0
2024-07-23,47.27,18.58,0
2023-10-15,45.22,6.71,0
2023-02-05,44.96,10.91,0
2024-09-13,43.39,18.4,0
2024-08-10,44.96,13.07,0
2024-08-23,37.55,14.73,0
2023-07-22,42.16,10.63,0
2023-06-17,41.91,8.71,0
2023-08-03,45.86,18.52,0
2023-09-17,41.32,10.63,0
2024-08-15,40.43,13.18,0
2023-09-06,43.35,9.12,0
2023-08-01,39.06,18.38,0
2024-08-06,37.61,9.31,0
2023-02-15,41.5,17.7,0
2024-04-20,40.79,9.74,0
2024-12-07,38.67,18.12,0
2023-08-15,40.23,10.7,0
2024-11-23,40.21,17.16,0
2024-11-16,39.77,13.68,0
2023-07-12,40.36,7.46,0
2023-09-22,43.89,9.78,0
2024-09-30,39.41,15.74,0
2024-06-16,46.91,14.54,0
2023-07-31,46.54,10.56,0
2023-07-25,41.53,8.5,0
2023-10-20,39.78,16.61,0
2023-10-10,42.16,13.97,0
2023-11-16,45.76,14.73,0
2023-06-29,43.5,12.13,0
2023-04-15,45.25,10.48,0
2023-08-11,42.13,10.89,0
2023-07-18,43.28,6.4,0
2023-06-24,39.31,18.08,0
2023-08-02,44.45,10.69,0
2024-01-22,38.33,12.18,0
2023-10-12,43.99,10.57,0
2023-08-20,45.9,10.55,0
2024-07-19,37.52,14.78,0
2023-08-19,43.07,14.58,0
2023-08-03,37.09,16.37,0
2024-08-02,44.35,6.92,0
2024-05-12,36.97,17.19,0
2023-10-14,46.76,18.25,0
2024-07-06,37.58,18.66,0
2024-07-02,47.03,7.65,0
2023-06-29,45.21,12.23,0
2024-06-18,42.83,18.02,0
2023-08-28,45.0,15.71,0
2023-04-20,45.14,6.77,0
2024-04-08,46.88,17.14,0
2023-08-26,38.91,16.73,0
2023-09-23,42.79,15.99,0
2023-05-07,37.09,11.27,0
2023-10-08,43.09,14.09,0
2023-10-09,37.97,15.16,0
2023-02-18,42.5,11.08,0
2024-07-19,42.58,16.04,0
2023-06-19,41.36,9.5,0
2023-08-28,42.01,8.35,0
2024-11-02,44.79,16.99,0
2023-07-20,45.19,10.34,0
2023-07-23,41.66,6.73,0
2024-10-28,42.9,16.66,0
2024-06-05,46.71,16.23,0
2024-08-30,37.38,16.27,0
2023-09-10,37.35,10.36,0
2023-09-17,37.01,13.72,0
2024-02-24,43.57,6.18,0
2023-10-04,40.81,6.03,0
2023-07-24,44.9,9.32,0
2023-09-11,43.72,12.72,0
2023-08-23,39.84,13.68,0
2024-05-11,46.33,7.71,0
2024-09-08,44.77,17.11,0
2024-02-08,39.11,18.28,0
2023-12-31,40.19,7.53,0
2024-07-20,39.62,16.55,0
2023-07-24,37.81,13.86,0
2023-07-13,37.7,12.43,0
2023-03-04,46.77,12.26,0
2023-11-01,41.04,15.6,0
2024-08-10,40.41,8.67,0
2023-07-25,44.39,13.79,0
2023-02-27,42.36,9.35,0
2024-06-09,46.77,7.09,0
2023-09-09,44.97,13.08,0
2023-07-23,41.51,9.44,0
2023-07-06,40.33,15.51,0
2023-09-27,47.35,14.33,0
2023-05-24,44.25,8.87,0
2023-08-21,46.94,17.03,0
2024-06-11,37.36,10.44,0
2023-07-25,45.78,15.08,0
2023-09-10,43.33,9.42,0
2023-07-24,37.4,8.52,0
2023-09-23,42.76,17.01,0
2023-03-25,43.89,17.76,0
2023-05-29,36.14,10.51,0
2023-08-19,41.22,10.03,0
2023-07-21,45.49,14.99,0
2023-09-22,39.4,8.91,0
2024-04-29,41.27,17.06,0
2023-07-25,41.09,6.11,0
2023-08-19,39.47,7.82,0
2024-06-26,46.56,7.54,0
2023-08-19,44.98,10.07,0
2024-06-08,37.27,17.09,0
2024-06-20,47.47,14.19,0
2024-08-13,46.11,7.38,0
2024-06-08,39.26,7.01,0
2024-02-21,45.62,9.69,0
2024-08-30,37.22,13.93,0
2024-03-22,47.49,13.6,0
2024-09-29,43.66,7.46,0
2023-10-15,43.48,15.74,0
2023-08-23,37.04,14.09,0
2024-07-22,46.32,18.58,0
2024-07-17,36.33,13.07,0
2023-04-30,38.77,10.19,0
2024-11-25,37.64,7.53,0
2023-10-20,44.93,17.76,0
2024-08-13,38.28,6.48,0
2023-07-25,46.47,10.46,0
2023-07-25,43.55,12.79,0
2023-09-05,36.42,13.29,0
2023-06-26,36.06,13.45,0
2024-04-18,36.59,15.18,0
2024-09-29,42.97,7.64,0
2024-07-01,45.22,15.21,0
2024-06-08,38.74,17.39,0
2024-01-17,45.77,6.39,0
2023-10-14,36.66,6.46,0
2023-02-17,45.21,18.69,0
2023-09-17,46.67,9.99,0
2023-07-19,44.88,11.82,0
2023-08-10,44.03,9.97,0
2024-08-12,45.64,13.12,0
2024-02-18,36.46,15.11,0
2023-06-17,38.32,15.73,0
2023-07-04,37.44,10.55,0
2024-08-14,41.8,9.34,0
2024-05-03,44.57,13.0,0
2024-09-12,43.25,10.92,0
2024-07-20,45.79,13.96,0
2024-09-15,37.78,13.83,0
2023-06-14,44.45,17.45,0
2023-09-12,38.22,6.05,0
2023-11-08,39.11,7.3,0
2023-10-02,44.16,16.07,0
2023-10-01,47.27,13.47,0
2024-09-23,43.03,6.8,0
2023-05-25,36.63,18.06,0
2023-08-12,43.09,14.33,0
2024-07-18,36.49,12.22,0
2024-04-07,46.17,15.98,0
2024-08-11,44.16,13.63,0
2024-04-12,37.99,10.78,0
2024-04-13,37.05,9.8,0
2024-05-27,38.11,11.8,0
2024-01-03,47.27,12.08,0
2023-10-16,41.27,15.11,0
2023-08-28,45.02,12.05,0
2023-07-25,43.32,6.23,0
2023-08-04,42.58,14.76,0
2023-01-31,37.67,6.89,0
2023-09-29,46.88,16.83,0
2023-05-23,39.47,15.07,0
2023-09-11,42.65,13.65,0
2023-11-06,44.05,11.81,0
2024-09-24,43.47,8.2,0
2024-02-17,46.82,14.38,0
2023-08-06,37.71,7.4,0
2023-01-30,41.85,13.74,0
2023-07-22,40.65,8.35,0
2024-12-11,41.45,13.64,0
2024-08-02,37.37,7.93,0
2023-10-23,37.54,7.21,0
2024-04-12,39.2,12.03,0
2024-09-30,39.5,15.08,0
2023-09-22,40.92,9.05,0
2024-08-15,43.03,12.37,0
2023-09-13,43.3,16.23,0
2023-10-01,40.74,13.03,0
2023-09-17,40.7,13.64,0
2024-09-07,38.5,8.82,0
2023-07-04,42.77,7.59,0
2024-08-11,39.65,7.91,0
2023-10-19,36.41,18.45,0
2023-07-21,40.81,7.11,0
2024-07-21,41.45,7.94,0
2024-08-17,38.59,8.63,0
2023-09-27,42.58,16.09,0
2023-07-10,42.51,11.09,0
2023-05-04,44.07,16.12,0
2023-10-06,43.45,11.36,0
2023-08-25,43.5,16.17,0
2023-02-13,39.64,17.46,0
2023-02-11,45.06,11.73,0
2024-11-15,42.32,18.63,0
2023-08-23,40.96,17.94,0
2023-09-08,43.2,6.2,0
2023-07-21,40.15,13.22,0
2023-11-18,41.9,14.41,0
2024-08-27,44.47,16.79,0
2023-06-22,46.19,14.62,0
2024-08-13,46.59,14.81,0
2023-09-10,41.79,9.71,0
2024-07-20,41.98,16.5,0
2023-07-09,45.2,6.81,0
2023-07-24,39.62,14.41,0
2023-10-06,45.63,8.59,0
2024-08-30,41.68,15.8,0
2023-10-23,37.33,16.12,0
2024-07-09,36.83,8.24,0
2023-08-04,45.68,16.16,0
2023-10-10,36.64,16.72,0
2024-12-15,39.23,6.68,0
2023-03-05,39.84,11.5,0
2024-04-08,37.99,8.47,0
2023-02-26,39.61,7.62,0
2023-09-20,44.54,16.29,0
2023-11-14,36.17,9.75,0
2023-10-08,45.51,14.24,0
2023-10-09,45.85,6.05,0
2023-08-04,40.28,7.02,0
2023-10-15,37.77,13.81,0
2024-09-02,42.91,10.74,0
2023-07-25,37.38,17.26,0
2023-10-28,40.2,7.05,0
2024-09-10,47.02,13.98,0
2023-07-25,47.45,15.0,0
2024-08-29,44.88,13.82,0
2023-11-16,39.58,14.71,0
2023-07-19,43.91,9.19,0
2024-09-03,44.11,15.82,0
2023-07-18,40.46,13.1,0
2023-10-24,43.37,16.09,0
2023-09-12,36.12,7.56,0
2024-08-13,38.4,7.63,0
2023-07-20,42.04,11.06,0
2023-08-06,37.88,10.99,0
2023-03-21,37.91,7.64,0
2023-10-09,45.62,7.04,0
2024-10-06,47.38,7.03,0
2024-04-15,42.39,6.67,0
2023-10-20,45.65,6.42,0
2023-09-22,47.39,16.34,0
2023-09-16,37.63,17.97,0
2023-10-13,41.15,11.45,0
2024-04-04,40.51,8.39,0
2024-05-12,36.92,10.2,0
2023-08-22,44.69,16.48,0
2024-03-13,40.99,17.89,0
2023-09-14,41.4,9.06,0
2024-02-24,37.73,6.39,0
2024-12-02,38.08,9.95,0
2024-08-29,46.43,10.93,0
2023-03-13,36.51,6.04,0
2024-01-30,38.68,14.72,0
2024-08-16,39.36,7.59,0
2023-10-29,41.64,7.05,0
2023-09-24,42.74,15.2,0
2024-08-09,41.67,15.87,0
2023-07-18,36.97,8.36,0
2024-09-10,38.8,15.84,0
2024-03-28,45.7,9.81,0
2023-12-27,43.33,9.94,0
2024-05-06,43.47,7.57,0
2024-05-26,43.71,8.9,0
2023-08-28,44.77,6.5,0
2023-10-02,36.67,14.6,0
2023-06-28,40.22,16.9,0
2023-10-05,42.2,6.62,0
2023-07-25,39.89,9.27,0
2023-06-03,45.71,10.43,0
2024-06-24,41.55,11.02,0
2023-08-18,44.84,16.55,0
2024-01-17,45.8,6.55,0
2024-10-13,41.81,13.86,0
2023-08-26,46.46,12.81,0
2023-02-02,42.75,16.73,0
2024-08-04,45.78,9.92,0
2024-08-07,39.92,7.3,0
2024-05-02,41.74,7.67,0
2023-11-03,42.11,14.07,0
2024-08-02,37.21,12.99,0
2023-09-12,40.58,13.58,0
2024-09-07,46.55,7.75,0
2023-04-04,43.25,6.54,0
2024-08-19,38.04,13.25,0
2023-10-14,39.9,7.04,0
2024-08-09,38.2,17.9,0
2024-09-04,36.29,16.28,0
2023-10-01,46.67,8.3,0
2024-04-14,41.15,13.65,0
2024-04-27,39.54,7.69,0
2023-08-03,42.88,17.98,0
2023-10-09,36.08,13.54,0
2024-02-04,39.2,10.07,0
2024-06-24,44.08,14.71,0
2023-08-22,43.29,6.03,0
2023-07-16,47.29,9.68,0
2023-09-14,43.13,9.0,0
2024-09-20,41.49,10.43,0
2023-05-24,44.76,7.09,0
2023-09-22,46.39,18.39,0
2023-11-19,44.29,11.99,0
2023-07-20,47.08,16.96,0
2023-08-20,44.99,6.76,0
2024-08-05,45.97,16.81,0
2023-08-03,37.31,14.36,0
2023-08-03,44.42,14.69,0
2023-10-07,41.06,16.32,0
2023-12-13,42.36,12.73,0
2023-11-03,43.52,14.12,0
2023-02-11,47.15,17.52,0
2024-06-18,47.32,7.6,0
2023-07-25,39.31,6.71,0
2024-08-21,44.44,18.58,0
2023-09-22,44.62,17.28,0
2024-12-01,39.98,12.58,0
2024-07-18,37.42,15.99,0
2024-08-01,36.47,17.29,0
2024-04-12,44.94,11.98,0
2024-09-04,41.63,7.25,0
2023-06-29,47.33,12.15,0
2023-09-28,41.35,10.5,0
2024-10-01,47.25,6.3,0
2024-11-20,40.73,18.28,0
2024-09-10,45.13,15.16,0
2023-08-19,36.98,16.06,0
2024-08-14,42.39,13.64,0
2024-07-08,45.22,9.45,0
2023-09-12,46.63,13.48,0
2024-04-14,45.46,14.71,0
2024-08-07,36.43,13.65,0
2023-07-11,40.29,7.63,0
2023-06-29,36.56,16.41,0
2023-07-27,37.26,9.81,0
2023-01-01,43.77,11.08,0
2023-09-22,44.2,13.05,0
2023-10-29,44.9,18.51,0
2024-06-16,45.95,10.0,0
2024-09-07,44.5,6.54,0
2023-02-23,45.21,18.45,0
2024-04-19,36.56,18.26,0
2024-08-11,38.7,8.54,0
2023-07-24,43.15,16.61,0
2023-10-30,45.87,17.77,0
2023-06-19,36.05,6.17,0
2023-09-29,41.92,15.66,0
2023-07-19,43.79,8.3,0
2023-07-19,36.34,16.59,0
2023-10-05,40.62,6.27,0
2023-09-30,46.3,14.85,0
2023-09-17,43.72,16.45,0
2023-07-29,38.73,6.46,0
2024-11-18,45.81,15.69,0
2023-07-25,40.0,7.52,0
2023-01-29,45.81,7.01,0
2023-01-30,39.44,17.78,0
2024-06-08,42.79,17.81,0
2023-08-16,40.56,15.49,0
2023-09-19,39.16,17.39,0
2024-07-22,46.2,6.21,0
2023-07-25,38.16,12.55,0
2024-09-30,36.98,17.16,0
2023-08-28,39.93,17.43,0
2023-10-23,44.25,10.7,0
2023-10-22,45.29,10.16,0
2023-06-02,47.49,14.96,0
2023-08-02,39.41,6.77,0
2023-06-29,40.69,15.99,0
2024-07-20,37.57,9.2,0
2023-08-20,42.61,12.68,0
2024-09-30,47.47,8.46,0
2024-08-11,44.06,15.4,0
2023-09-10,42.84,18.24,0
2023-10-10,40.51,12.92,0
2023-06-25,46.53,18.17,0
2024-09-05,41.71,11.15,0
2024-03-22,37.55,9.67,0
2024-08-17,40.2,16.73,0
2023-07-21,36.77,6.49,0
2023-08-25,38.32,9.6,0
2024-05-22,36.2,14.84,0
2024-07-19,41.21,8.42,0
2024-08-29,43.3,17.4,0
2023-07-24,39.95,12.17,0
2023-11-15,40.83,9.15,0
2024-09-03,47.03,10.75,0
2023-10-15,44.65,9.63,0
2023-09-22,42.22,14.97,0
2023-09-23,39.27,7.41,0
2023-08-28,46.32,16.93,0
2023-03-09,38.7,7.9,0
2024-11-07,39.74,9.62,0
2023-08-12,46.45,14.02,0
2024-09-01,42.09,10.53,0
2024-03-23,44.54,12.53,0
2023-09-01,42.79,13.28,0
2023-08-18,43.51,9.32,0
2024-10-31,39.44,12.84,0
2023-07-19,38.78,18.02,0
2023-07-23,39.71,6.03,0
2023-07-19,37.79,13.63,0
2024-02-08,46.05,10.1,0
2023-10-20,39.26,17.03,0
2023-07-28,42.46,7.24,0
2023-09-14,45.11,6.78,0
2024-06-05,45.01,11.18,0
2024-07-09,41.04,14.62,0
2023-06-26,41.48,6.08,0
2023-06-30,47.44,16.38,0
2024-09-04,43.76,10.31,0
2024-11-08,45.37,17.78,0
2023-09-24,46.38,17.59,0
2023-10-09,45.06,15.78,0
2023-09-25,38.13,15.43,0
2024-08-27,42.46,13.69,0
2024-04-07,37.17,16.17,0
2023-07-23,43.51,8.28,0
2023-08-25,46.99,16.46,0
2023-07-09,41.9,13.23,0
2023-06-21,40.98,16.01,0
2024-10-06,36.41,12.32,0
2024-08-23,47.04,14.08,0
2023-08-11,37.18,10.37,0
2023-07-16,36.47,11.43,0
2023-09-11,38.83,10.67,0
2023-11-13,36.75,15.48,0
2024-11-23,41.23,8.57,0
2023-08-28,41.94,17.91,0
2023-07-16,39.59,16.61,0
2023-07-15,36.59,17.03,0
2023-08-07,37.28,17.7,0
2023-10-12,40.42,11.58,0
2023-11-06,36.7,17.42,0
2023-09-18,44.03,11.68,0
2024-08-16,38.38,7.3,0
2024-08-02,39.47,6.63,0
2023-06-19,40.53,6.81,0
2023-07-28,40.79,8.41,0
2024-05-26,36.02,10.61,0
2023-08-05,37.29,18.53,0
2023-11-03,45.92,9.09,0
2023-10-08,36.01,17.69,0
2023-10-10,41.84,16.37,0
2024-09-03,41.63,17.02,0
2024-08-24,39.83,16.04,0
2023-10-15,40.96,18.46,0
2023-08-22,44.98,7.53,0
2024-11-02,45.67,12.13,0
2024-10-09,38.99,10.39,0
2023-09-09,39.71,9.64,0
2023-09-22,38.79,11.72,0
2024-04-18,41.52,12.16,0
2024-03-06,43.86,18.62,0
2023-09-05,38.62,9.39,0
2023-10-24,39.8,17.67,0
2023-10-20,46.7,8.14,0
2023-07-30,36.56,14.51,0
2023-10-13,41.3,9.91,0
2023-07-06,44.18,18.29,0
2023-07-30,37.73,14.12,0
2023-09-22,36.54,6.82,0
2023-06-23,37.59,17.82,0
2024-06-18,46.57,9.76,0
2023-08-21,36.11,17.87,0
2023-08-24,38.17,6.17,0
2023-10-11,36.36,8.8,0
2023-01-21,37.27,9.56,0
2023-09-10,43.13,14.81,0
2023-01-03,38.78,16.21,0
2023-07-25,42.55,14.07,0
2024-05-26,42.79,6.79,0
2023-07-24,45.77,11.55,0
2023-04-04,36.05,12.32,0
2023-09-08,45.81,10.59,0
2024-10-28,43.12,11.37,0
2023-06-26,37.87,12.18,0
2023-08-27,44.89,13.09,0
2023-07-05,45.84,14.08,0
2023-07-05,38.92,8.69,0
2023-09-17,46.57,17.54,0
2023-09-12,41.23,16.6,0
2023-09-22,42.94,16.07,0
2024-09-29,47.32,16.31,0
2023-03-21,40.16,12.73,0
2024-12-17,45.35,18.2,0
2023-10-20,39.66,10.68,0
2024-10-31,45.19,11.38,0
2024-08-10,42.91,16.45,0
2024-08-15,38.49,17.12,0
2023-07-24,40.76,11.75,0
2024-09-24,39.65,16.85,0
2023-07-29,36.9,14.11,0
2023-12-27,36.34,10.97,0
2023-02-26,39.98,17.59,0
2024-06-20,36.22,12.44,0
2023-07-16,37.9,16.87,0
2023-06-26,44.34,16.4,0
2024-10-06,44.14,7.24,0
2023-06-01,44.49,17.15,0
2023-07-15,39.65,8.08,0
2023-07-22,46.24,16.42,0
2023-07-24,42.83,15.67,0
2023-09-07,37.45,15.44,0
2024-03-24,37.65,17.79,0
2023-07-17,43.97,13.69,0
2024-02-15,37.99,10.33,0
2023-08-25,41.83,13.59,0
2023-08-17,47.41,14.91,0
2023-07-23,36.05,10.67,0
2023-08-13,36.19,9.25,0
2023-09-01,47.42,12.27,0
2023-10-20,42.72,17.5,0
2023-07-18,37.46,14.07,0
2023-09-02,46.32,17.48,0
2024-08-13,46.12,12.08,0
2023-09-22,42.17,18.12,0
2024-08-08,43.15,16.13,0
2023-07-28,39.14,10.54,0
2023-07-31,36.58,11.74,0
